elapsed,rss,cpuSeconds
0.00033815205097198486,0,0.0
0.10290426015853882,69472256,0.09
0.203214842826128,82628608,0.2
0.3035854995250702,99348480,0.31
0.40562635473906994,122417152,0.44
0.5059941820800304,129720320,0.51
0.6064267084002495,131026944,0.54
0.7067776843905449,132206592,0.58
0.8072046171873808,132861952,0.61
0.9076240640133619,133648384,0.64
1.00803042948246,134565888,0.68
1.1084061358124018,134959104,0.69
1.208764210343361,135876608,0.7
1.309079023078084,137056256,0.74
1.4095146898180246,137711616,0.77
1.5099180154502392,138104832,0.79
1.6102511789649725,139677696,0.82
1.7114580906927586,141365248,0.85
1.8117829449474812,141365248,0.87
1.9122309517115355,141365248,0.9
2.012588446959853,141496320,0.94
2.1159644816070795,144904192,0.99
2.216396175324917,145264640,1.02
2.316776132211089,146051072,1.07
2.4171391278505325,146051072,1.1
2.517632244154811,146313216,1.15
2.617957077920437,146968576,1.17
2.718360273167491,153784320,1.22
2.818680638447404,156012544,1.25
2.919075231999159,158633984,1.29
3.019482219591737,159948800,1.34
3.1198557037860155,160079872,1.37
3.2216357197612524,160079872,1.41
3.3219576831907034,162963456,1.47
3.422516578808427,164798464,1.51
3.523478800430894,166240256,1.54
3.6238169744610786,167157760,1.55
3.7243363596498966,170696704,1.59
3.824768476188183,174891008,1.62
3.925179110839963,176988160,1.65
4.025637125596404,179085312,1.69
4.126079982146621,179769344,1.73
4.226463954895735,179769344,1.76
4.326827963814139,179900416,1.81
4.427360886707902,179900416,1.82
4.527947545051575,180817920,1.83
4.628258839249611,180817920,1.86
4.728600535541773,181080064,1.89
4.828938769176602,181080064,1.91
4.929378796368837,181080064,1.93
5.029690079391003,182128640,1.95
5.130065696313977,182128640,1.97
5.230498241260648,182259712,2.01
5.3308125752955675,182390784,2.03
5.431208850815892,181866496,2.04
5.531674157828093,182763520,2.06
5.632533974945545,182894592,2.08
5.732969330623746,182894592,2.11
5.833355486392975,182894592,2.14
5.933765551075339,182894592,2.14
6.0340998359024525,183812096,2.15
6.134535072371364,184074240,2.17
6.234871627762914,184074240,2.2
6.335235580801964,184074240,2.24
6.4357743468135595,184074240,2.25
6.53616695292294,185122816,2.26
6.636561740189791,185253888,2.28
6.736923053860664,185253888,2.31
6.837501211091876,185253888,2.34
6.93785965628922,184868864,2.38
7.0382186602801085,185655296,2.39
7.138750987127423,185786368,2.43
7.239996338263154,185917440,2.45
7.3404280841350555,185917440,2.49
7.4408806674182415,185917440,2.49
7.541814098134637,186834944,2.51
7.642172170802951,186834944,2.53
7.742584887892008,186966016,2.56
7.842958573251963,187097088,2.59
7.9434220995754,187097088,2.62
8.043780224397779,188014592,2.64
8.144236352294683,188014592,2.66
8.245024779811502,188145664,2.68
8.34554804302752,188276736,2.71
8.445884760469198,188276736,2.73
8.546430675312877,188604416,2.76
8.647199371829629,188735488,2.79
8.74785459972918,188735488,2.82
8.848310396075249,188735488,2.85
8.948760641738772,188866560,2.87
9.049094464629889,189915136,2.89
9.14945064112544,190832640,2.93
9.249768456444144,192143360,2.97
9.350157842040062,192143360,2.98
9.451939474791288,192143360,2.98
9.552396578714252,193060864,3.01
9.656728522852063,193060864,3.02
9.757115608081222,193060864,3.04
9.857999006286263,193060864,3.04
9.958409572020173,193191936,3.05
10.058754656463861,193191936,3.06
10.15916895121336,193323008,3.08
10.25963337533176,193323008,3.09
10.360047593712807,193323008,3.11
10.46049034036696,193777664,3.13
10.560999043285847,193777664,3.15
10.661627171561122,193777664,3.15
10.762772211804986,193777664,3.17
10.863851791247725,193777664,3.17
10.96468592993915,193777664,3.18
11.066029131412506,193777664,3.19
11.16680415906012,193908736,3.2
11.267652176320553,193908736,3.2
11.368077382445335,193908736,3.22
11.469084311276674,193908736,3.22
11.569548295810819,193908736,3.22
11.670839037746191,193908736,3.24
11.772607821971178,193908736,3.24
11.872961537912488,193908736,3.25
11.974379109218717,193908736,3.25
12.075794480741024,193908736,3.27
12.176965739578009,193908736,3.27
12.278604075312614,193908736,3.27
12.378992579877377,193908736,3.29
12.479355916380882,193908736,3.29
12.579677918925881,193908736,3.29
12.681432193145156,193908736,3.3
12.784228002652526,193908736,3.31
12.884878112003207,194826240,3.32
12.986065562814474,194826240,3.33
13.08785830810666,194826240,3.34
13.188772216439247,194826240,3.34
13.29089593142271,194826240,3.34
13.391843559220433,194826240,3.36
13.492791598662734,194826240,3.36
13.595647322013974,194957312,3.36
13.696879299357533,195219456,3.37
13.797627760097384,195350528,3.38
13.898819429799914,195743744,3.4
13.999197322875261,195874816,3.4
14.099600540474057,196268032,3.42
14.200208878144622,196923392,3.44
14.300731394439936,197316608,3.45
14.402082063257694,197709824,3.47
14.503885120153427,197971968,3.48
14.605215810239315,199020544,3.5
14.705945666879416,199151616,3.52
14.806429913267493,199151616,3.54
14.906826367601752,199282688,3.56
15.007393755018711,199282688,3.58
15.108756275847554,199282688,3.6
15.209804955869913,199282688,3.61
15.310164960101247,199282688,3.62
15.41058481670916,199413760,3.64
15.511992778629065,200724480,3.67
15.613112200051546,200724480,3.68
15.713482663035393,200855552,3.71
15.813876518979669,200855552,3.73
15.914224352687597,200855552,3.75
16.0146196000278,200986624,3.76
16.11686478741467,201334784,3.8
16.21790673583746,201465856,3.82
16.318235639482737,201465856,3.84
16.418905017897487,201465856,3.86
16.519374083727598,201596928,3.88
16.61977776698768,201596928,3.89
16.72024162299931,201596928,3.91
16.821196783334017,203169792,3.95
16.92155881971121,203300864,3.99
17.02191849425435,203431936,4.03
17.12234157882631,204349440,4.07
17.22277677617967,204480512,4.11
17.323928555473685,205266944,4.14
17.424373012036085,205299712,4.19
17.524745086207986,205299712,4.22
17.62516870163381,205299712,4.26
17.725558066740632,205955072,4.34
17.826736306771636,205955072,4.35
17.927128611132503,205955072,4.37
18.02754375897348,205955072,4.41
18.127941543236375,206217216,4.44
18.228421607986093,206217216,4.47
18.328794883564115,206217216,4.5
18.429206600412726,206610432,4.54
18.529596135020256,206610432,4.56
18.630587643012404,206610432,4.59
18.73090512678027,206610432,4.62
18.831278163939714,207003648,4.65
18.931713089346886,207003648,4.67
19.03209461644292,207134720,4.7
19.132503239437938,207790080,4.74
19.23365943878889,207319040,4.78
19.33399260416627,207319040,4.81
19.434687711298466,207319040,4.82
19.53511006757617,207319040,4.84
19.63560549542308,207319040,4.84
19.735960939899087,207712256,4.88
19.836428724229336,207712256,4.91
19.937021300196648,207712256,4.94
20.038106370717287,208105472,4.98
20.13864646665752,208105472,5.0
20.239334074780345,208105472,5.03
20.340039812028408,208105472,5.05
20.440517127513885,207355904,5.09
20.540834311395884,207355904,5.12
20.64164643920958,207355904,5.15
20.742055635899305,207355904,5.18
20.842610202729702,207749120,5.22
20.943016197532415,207749120,5.25
21.04345311410725,207749120,5.27
21.144518552348018,207749120,5.3
21.24490670673549,209584128,5.35
21.345239471644163,209584128,5.38
21.445697778835893,209584128,5.41
21.546021753922105,208891904,5.45
21.648556051775813,208891904,5.49
21.74891577847302,208891904,5.52
21.849353713914752,208891904,5.56
21.94973621889949,208629760,5.65
22.050138544291258,208629760,5.68
22.150517586618662,208629760,5.71
22.251029623672366,208891904,5.76
22.351376289501786,208891904,5.79
22.45172468572855,208891904,5.83
22.55212957970798,209154048,5.87
22.652516255155206,209154048,5.9
22.752924252301455,209154048,5.93
22.853254675865173,209547264,5.96
22.95358733087778,209547264,5.98
23.05393785610795,209547264,5.99
23.154327299445868,209547264,6.02
23.25521074794233,209547264,6.05
23.35561579465866,209547264,6.08
23.456369142979383,209547264,6.11
23.557776734232903,209547264,6.13
23.658186299726367,209510400,6.17
23.758770676329732,209903616,6.21
23.85935292392969,209903616,6.22
23.9597093667835,209903616,6.25
24.060079023241997,209903616,6.28
24.160545459017158,210296832,6.32
24.26089545339346,210296832,6.35
24.36140137910843,210296832,6.38
24.461790343746543,210558976,6.41
24.562182592228055,210558976,6.44
24.662682635709643,210558976,6.47
24.763056360185146,210558976,6.5
24.86354724690318,210558976,6.54
24.96388215199113,210423808,6.62
