elapsed,rss,cpuSeconds
0.00014745071530342102,3379200,0.0
0.10045725665986538,71634944,0.07
0.20124690607190132,89174016,0.15
0.30158098973333836,104390656,0.27
0.4038753490895033,113082368,0.36
0.5042593535035849,114757632,0.48
0.6046062707901001,116461568,0.56
0.7049551140516996,127078400,0.65
0.8061965070664883,140709888,0.73
0.9065815322101116,162861056,0.85
1.0072336699813604,177278976,0.98
1.1101800631731749,181272576,1.03
1.2105576675385237,181927936,1.06
1.3109903037548065,181927936,1.1
1.4117935728281736,181927936,1.13
1.5126067623496056,182190080,1.19
1.6132493577897549,186515456,1.24
1.7142300177365541,192557056,1.29
1.8146543949842453,192950272,1.33
1.9150977600365877,194129920,1.43
2.0154130458831787,194129920,1.46
2.115819090977311,194129920,1.51
2.216223059222102,194129920,1.55
2.316706394776702,198586368,1.61
2.4173169899731874,204746752,1.66
2.517712576314807,209334272,1.7
2.6181458551436663,215625728,1.74
2.7184913381934166,224014336,1.79
2.8189768940210342,230567936,1.84
2.9194745123386383,237514752,1.89
3.0198384672403336,244195328,1.94
3.120512206107378,244850688,1.97
3.220979902893305,244981760,2.01
3.321606857702136,246292480,2.07
3.4225584976375103,246292480,2.11
3.5230738539248705,246423552,2.14
3.6246392466127872,247341056,2.15
3.725034723058343,247472128,2.18
3.8254525307565928,247996416,2.22
3.925896005704999,249176064,2.25
4.026293862611055,249962496,2.28
4.127367962151766,250617856,2.3
4.227812958881259,250617856,2.3
4.3286354672163725,251797504,2.32
4.429043723270297,256778240,2.36
4.529413165524602,258088960,2.4
4.6298782750964165,259530752,2.43
4.730459230020642,260841472,2.47
4.8308420572429895,261935104,2.52
4.931245302781463,262197248,2.57
5.0316102784127,262197248,2.61
5.132007274776697,263114752,2.66
5.232387820258737,263376896,2.71
5.332723407074809,263376896,2.74
5.433104323223233,263376896,2.78
5.533695189282298,263376896,2.8
5.634109724313021,264425472,2.83
5.734494069591165,264425472,2.86
5.834813674911857,264556544,2.89
5.935244143009186,264556544,2.92
6.035615345463157,264556544,2.96
6.136038081720471,266653696,3.0
6.23648215085268,271110144,3.04
6.337095325812697,277532672,3.08
6.437501423060894,283332608,3.14
6.538468532264233,283463680,3.18
6.638793097808957,284381184,3.21
6.7391725946217775,284381184,3.25
6.839494930580258,284381184,3.28
6.940229458734393,284643328,3.32
7.040631921961904,284643328,3.34
7.141150809824467,285560832,3.37
7.241655046120286,285560832,3.41
7.342166181653738,285691904,3.45
7.442528938874602,285691904,3.48
7.542996995151043,285691904,3.48
7.643409701064229,286609408,3.5
7.743853757157922,286609408,3.51
7.844423834234476,286740480,3.54
7.944813657552004,286871552,3.57
8.045252786949277,287133696,3.62
8.14566002227366,287903744,3.68
8.246175667271018,288165888,3.71
8.346542863175273,288165888,3.76
8.446871537715197,288296960,3.8
8.547340644523501,288296960,3.8
8.647726410999894,289214464,3.82
8.748209835961461,289214464,3.85
8.848872695118189,289345536,3.89
8.949355190619826,289345536,3.93
9.0496914871037,289476608,3.97
9.150114953517914,290394112,3.98
9.250457348302007,290525184,4.0
9.351153805851936,290525184,4.04
9.452177675440907,290656256,4.09
9.552557749673724,290656256,4.11
9.653003677725792,291573760,4.13
9.753326741978526,291573760,4.16
9.853670438751578,292360192,4.22
9.954071965068579,292491264,4.26
10.05452256090939,293801984,4.32
10.154956987127662,294719488,4.33
10.255304051563144,294719488,4.38
10.355579545721412,294719488,4.42
10.45625089481473,294981632,4.47
10.556678380817175,294981632,4.47
10.65721782669425,295899136,4.48
10.757619373500347,295899136,4.5
10.85833596996963,295899136,4.53
10.95867444574833,296030208,4.58
11.059399234130979,296161280,4.59
11.159722991287708,296947712,4.61
11.260137407109141,297078784,4.63
11.360521761700511,297078784,4.66
11.461013197898865,297078784,4.7
11.561521986499429,297078784,4.72
11.661889290437102,297078784,4.75
11.763206230476499,297078784,4.77
11.863622138276696,297078784,4.79
11.964138424023986,297209856,4.82
12.064508950337768,296816640,4.85
12.165159178897738,297734144,4.9
12.265798205509782,297734144,4.94
12.366311501711607,297865216,4.95
12.466852778568864,297865216,4.98
12.567204793915153,297865216,5.0
12.667577778920531,297865216,5.03
12.769457334652543,297865216,5.05
12.870166633278131,298782720,5.07
12.970540259033442,298782720,5.09
13.071053454652429,298913792,5.12
13.171437062323093,298913792,5.13
13.271988198161125,299044864,5.15
13.372402234002948,299044864,5.17
13.475272674113512,299044864,5.17
13.575777541846037,299044864,5.19
13.681606091558933,299044864,5.2
13.785264790058136,299044864,5.21
13.886424958705902,299044864,5.21
13.986770674586296,299044864,5.23
14.087284112349153,299044864,5.25
14.188349852338433,299044864,5.26
14.28874577768147,299044864,5.28
14.390392553061247,299962368,5.31
14.490727677941322,300093440,5.33
14.591470766812563,300093440,5.34
14.691832922399044,300224512,5.37
14.792213138192892,300224512,5.39
14.892570301890373,300224512,5.41
14.992977628484368,300224512,5.44
15.093291603028774,300879872,5.47
15.193732330575585,301273088,5.5
15.29410444572568,301404160,5.53
15.394436890259385,301404160,5.55
15.49477618560195,301404160,5.57
15.595205241814256,302714880,5.59
15.695639418438077,304287744,5.61
15.796053294092417,305467392,5.63
15.896491350606084,307466240,5.66
15.996832225471735,308383744,5.7
16.097382621839643,308383744,5.7
16.199544111266732,308383744,5.71
16.29987993463874,308514816,5.74
16.400242229923606,308514816,5.75
16.500597206875682,308514816,5.77
16.60106603242457,308514816,5.8
16.701440159231424,308514816,5.83
16.80184030160308,308514816,5.85
16.902258390560746,308645888,5.88
17.002579614520073,309563392,5.92
17.10319677181542,309694464,5.94
17.203560326248407,309694464,5.97
17.30400332249701,309694464,6.01
17.40445459075272,310743040,6.04
17.50480534695089,310874112,6.07
17.60521136969328,310874112,6.11
17.70563722588122,310874112,6.15
17.806155124679208,312184832,6.2
17.906518710777164,313102336,6.22
18.00687369517982,314150912,6.25
18.107213329523802,315461632,6.29
18.207809757441282,315805696,6.35
18.308200534433126,316723200,6.41
18.408621750772,316723200,6.46
18.50901990570128,316854272,6.5
18.609424030408263,317771776,6.55
18.7098251786083,317902848,6.59
18.810247933492064,317902848,6.63
18.91066957823932,318951424,6.68
19.01107088662684,319082496,6.71
19.11145300231874,319082496,6.75
19.21227239817381,319082496,6.79
19.312616353854537,320262144,6.84
19.413108529523015,320262144,6.88
19.51350075751543,320262144,6.92
19.614270946010947,320393216,6.96
19.714659390971065,320651264,7.03
19.815069057047367,320651264,7.06
19.91546232253313,320651264,7.09
20.01602857746184,320651264,7.13
20.1163905672729,320782336,7.16
20.21679420955479,321830912,7.21
20.317169226706028,321830912,7.26
20.41757707297802,321961984,7.3
20.517990546301007,324059136,7.35
20.619305359199643,324059136,7.36
20.71970583498478,324059136,7.39
20.820097682997584,324321280,7.42
20.92055355757475,324321280,7.45
21.021213544532657,325238784,7.49
21.12209804356098,325369856,7.53
21.222545560449362,325500928,7.56
21.32287054695189,324784128,7.62
21.42334753088653,325701632,7.68
21.523730985820293,325832704,7.73
21.624110775068402,325832704,7.76
21.72443469054997,326881280,7.8
21.82482442446053,326881280,7.85
21.925282223150134,327012352,7.9
22.025632916018367,328060928,7.95
22.126076402142644,328060928,8.01
22.226463187485933,328323072,8.05
22.32684582285583,329240576,8.09
22.427199218422174,329240576,8.14
22.527654767036438,329240576,8.17
22.628055810928345,329240576,8.21
22.728517899289727,329371648,8.25
22.830071410164237,329502720,8.29
22.930494837462902,334073856,8.34
23.031350526958704,335122432,8.39
23.131715189665556,335122432,8.44
23.232130985707045,335122432,8.48
23.33247474208474,336039936,8.51
23.43292353861034,336302080,8.54
23.533347625285387,336302080,8.58
23.63371171988547,336302080,8.62
23.73428737744689,337350656,8.66
23.83489004522562,337481728,8.71
23.935483491048217,337612800,8.76
24.03579700551927,338530304,8.8
24.136261833831668,338530304,8.85
24.236964849755168,338792448,8.89
24.3373135458678,339132416,8.96
24.43768843077123,339132416,9.0
24.53809933923185,339132416,9.04
24.638473462313414,339132416,9.06
24.73924663104117,339263488,9.11
24.839754167944193,340312064,9.15
24.940171353518963,340312064,9.19
25.040511310100555,340443136,9.24
25.140884026885033,341491712,9.29
25.241255782544613,341491712,9.34
25.34208447113633,341622784,9.37
25.442408123984933,342540288,9.42
25.542805960401893,342671360,9.46
25.64327963627875,342671360,9.48
25.743600523099303,342802432,9.51
25.84426160901785,341979136,9.57
25.944644074887037,342896640,9.62
26.04507490247488,343027712,9.66
26.145403066650033,343027712,9.7
26.24632272683084,343027712,9.74
26.34665152989328,344207360,9.77
26.447005366906524,344207360,9.8
26.547397911548615,344207360,9.84
26.647832598537207,345255936,9.87
26.74824425391853,345255936,9.9
26.848619820550084,345387008,9.95
26.949094615876675,345387008,9.98
27.049524812027812,345387008,10.0
27.1499066054821,346435584,10.02
27.250258373096585,346566656,10.07
27.350615167990327,346566656,10.1
27.45186422020197,346931200,10.17
27.55223803408444,346931200,10.2
27.652599349617958,347848704,10.21
27.753005238249898,347979776,10.26
27.85350646264851,347979776,10.31
27.953875551000237,347979776,10.35
28.05438119545579,347979776,10.35
28.154714982956648,348897280,10.36
28.255987212061882,349028352,10.38
28.35634489916265,349159424,10.42
28.456743454560637,349159424,10.46
28.557288620620966,349159424,10.47
28.657772947102785,349290496,10.51
28.758193902671337,350208000,10.54
28.858541088178754,350208000,10.58
28.958985675126314,350339072,10.62
29.059424789622426,350470144,10.66
29.159751186147332,351387648,10.69
29.2601115424186,351387648,10.74
29.360410226508975,351518720,10.79
29.46076876297593,351518720,10.81
29.56122348830104,350863360,10.86
29.661605594679713,351780864,10.88
29.762086641043425,351780864,10.91
29.862617326900363,351780864,10.95
29.962978651747108,351911936,10.98
30.063302226364613,351911936,10.98
30.163659581914544,352829440,11.01
30.26421447098255,352960512,11.05
30.36459026671946,352960512,11.1
30.465071331709623,353091584,11.12
30.565489888191223,353091584,11.12
30.665831902995706,354009088,11.15
30.766359589993954,354140160,11.18
30.86674335412681,354140160,11.21
30.96909698471427,354140160,11.24
31.069844072684646,354140160,11.26
31.170706620439887,355057664,11.3
31.271567560732365,355057664,11.31
31.371955826878548,355188736,11.36
31.472762202844024,355188736,11.37
31.573088090866804,355319808,11.41
31.673464154824615,355319808,11.43
31.774237973615527,355319808,11.46
31.874687358736992,355319808,11.51
31.97525335662067,360034304,11.54
32.07564143277705,360951808,11.6
32.17651301063597,360951808,11.63
32.27683478593826,361082880,11.66
32.377468122169375,361082880,11.7
32.478128742426634,361213952,11.74
32.57890377752483,362262528,11.78
32.6792196650058,362262528,11.82
32.779594250023365,362262528,11.86
32.88027019798756,363311104,11.9
32.98069281503558,363311104,11.95
33.08109964989126,363442176,12.0
33.18160705640912,363573248,12.03
33.282186223194,364490752,12.05
33.38265195861459,364490752,12.08
33.4831059537828,364490752,12.12
33.583515321835876,364621824,12.15
33.684169478714466,364965888,12.22
33.784581964835525,365096960,12.24
33.885049890726805,365096960,12.29
33.98545116558671,365096960,12.33
34.08585152216256,365359104,12.37
34.18627183884382,366276608,12.41
34.28661521524191,366407680,12.45
34.387022878974676,366407680,12.48
34.48733083344996,366407680,12.52
34.587684931233525,366407680,12.52
34.68803419359028,367456256,12.56
34.78836265951395,367587328,12.6
34.8887742664665,367718400,12.65
34.989192482084036,367718400,12.65
35.08955410681665,367718400,12.65
35.190666899085045,368635904,12.69
35.291050143539906,368635904,12.73
35.39158848114312,368635904,12.76
35.49200566671789,368898048,12.79
